key	date	value
Antofagasta, Chile	1917	303
Antofagasta, Chile	1918	352
Antofagasta, Chile	1919	296
Antofagasta, Chile	1920	609
Antofagasta, Chile	1921	1125
Antofagasta, Chile	1922	1110
Antofagasta, Chile	1923	717
Antofagasta, Chile	1924	905
Antwerp	1892	38932
Antwerp	1893	31259
Antwerp	1894	13010
Antwerp	1895	17181
Antwerp	1896	18284
Antwerp	1897	11539
Antwerp	1898	12345
Antwerp	1899	19539
Antwerp	1900	31098
Antwerp	1901	33211
Antwerp	1902	45144
Antwerp	1903	59892
Antwerp	1904	43987
Antwerp	1905	66951
Antwerp	1906	75158
Antwerp	1907	79283
Antwerp	1908	28472
Antwerp	1909	57983
Antwerp	1910	60193
Antwerp	1911	51565
Antwerp	1912	66331
Antwerp	1913	87524
Antwerp	1914	33719
Antwerp	1915	0
Antwerp	1916	0
Antwerp	1917	0
Antwerp	1918	3
Antwerp	1919	6501
Antwerp	1920	42430
Antwerp	1921	55051
Antwerp	1922	35775
Antwerp	1923	28483
Antwerp	1924	13024
Apple River, Nova Scotia	1892	0
Apple River, Nova Scotia	1893	0
Apple River, Nova Scotia	1894	0
Apple River, Nova Scotia	1895	0
Apple River, Nova Scotia	1896	0
Apple River, Nova Scotia	1897	0
Apple River, Nova Scotia	1898	0
Apple River, Nova Scotia	1899	0
Apple River, Nova Scotia	1900	0
Apple River, Nova Scotia	1901	0
Apple River, Nova Scotia	1902	0
Apple River, Nova Scotia	1903	0
Apple River, Nova Scotia	1904	0
Apple River, Nova Scotia	1905	0
Apple River, Nova Scotia	1906	0
Apple River, Nova Scotia	1907	0
Apple River, Nova Scotia	1908	0
Apple River, Nova Scotia	1909	0
Apple River, Nova Scotia	1910	0
Apple River, Nova Scotia	1911	0
Apple River, Nova Scotia	1912	0
Apple River, Nova Scotia	1913	0
Apple River, Nova Scotia	1914	0
Apple River, Nova Scotia	1915	0
Apple River, Nova Scotia	1916	0
Apple River, Nova Scotia	1917	0
Apple River, Nova Scotia	1918	79
Apple River, Nova Scotia	1919	109
Apple River, Nova Scotia	1920	53
Apple River, Nova Scotia	1921	49
Apple River, Nova Scotia	1922	36
Apple River, Nova Scotia	1923	22
Apple River, Nova Scotia	1924	29
Archangel	1892	0
Archangel	1893	0
Archangel	1894	0
Archangel	1895	0
Archangel	1896	0
Archangel	1897	0
Archangel	1898	0
Archangel	1899	0
Archangel	1900	0
Archangel	1901	0
Archangel	1902	0
Archangel	1903	0
Archangel	1904	0
Archangel	1905	0
Archangel	1906	0
Archangel	1907	0
Archangel	1908	0
Archangel	1909	0
Archangel	1910	0
Archangel	1911	0
Archangel	1912	0
Archangel	1913	0
Archangel	1914	13
Archangel	1915	693
Archangel	1916	436
Archangel	1917	537
Archangel	1918	70
Archangel	1919	1
Archangel	1920	0
Archangel	1921	0
Archangel	1922	0
Archangel	1923	0
Archangel	1924	0
Aux Cayes	1892	15
Aux Cayes	1893	7
Aux Cayes	1894	23
Aux Cayes	1895	4
Aux Cayes	1896	48
Aux Cayes	1897	4
Aux Cayes	1898	0
Aux Cayes	1899	0
Aux Cayes	1900	0
Aux Cayes	1901	0
Aux Cayes	1902	0
Aux Cayes	1903	15
Aux Cayes	1904	0
Aux Cayes	1905	19
Aux Cayes	1906	21
Aux Cayes	1907	16
Aux Cayes	1908	14
Aux Cayes	1909	11
Aux Cayes	1910	1
Aux Cayes	1911	6
Aux Cayes	1912	35
Aux Cayes	1913	151
Aux Cayes	1914	37
Aux Cayes	1915	6
Aux Cayes	1916	26
Aux Cayes	1917	47
Aux Cayes	1918	71
Aux Cayes	1919	49
Aux Cayes	1920	63
Aux Cayes	1921	69
Aux Cayes	1922	135
Aux Cayes	1923	80
Aux Cayes	1924	22
Avonmouth, England	1892	0
Avonmouth, England	1893	1
Avonmouth, England	1894	0
Avonmouth, England	1895	0
Avonmouth, England	1896	0
Avonmouth, England	1897	0
Avonmouth, England	1898	0
Avonmouth, England	1899	0
Avonmouth, England	1900	0
Avonmouth, England	1901	0
Avonmouth, England	1902	0
Avonmouth, England	1903	0
Avonmouth, England	1904	0
Avonmouth, England	1905	0
Avonmouth, England	1906	0
Avonmouth, England	1907	0
Avonmouth, England	1908	1
Avonmouth, England	1909	2
Avonmouth, England	1910	0
Avonmouth, England	1911	0
Avonmouth, England	1912	0
Avonmouth, England	1913	22
Avonmouth, England	1914	193
Avonmouth, England	1915	178
Avonmouth, England	1916	188
Avonmouth, England	1917	1411
Avonmouth, England	1918	562
Avonmouth, England	1919	1308
Avonmouth, England	1920	937
Avonmouth, England	1921	1129
Avonmouth, England	1922	493
Avonmouth, England	1923	316
Avonmouth, England	1924	0
Azores	1892	887
Azores	1893	875
Azores	1894	244
Azores	1895	640
Azores	1896	524
Azores	1897	310
Azores	1898	0
Azores	1899	0
Azores	1900	22
Azores	1901	0
Azores	1902	66
Azores	1903	0
Azores	1904	0
Azores	1905	0
Azores	1906	0
Azores	1907	0
Azores	1908	0
Azores	1909	66
Azores	1910	29
Azores	1911	0
Azores	1912	0
Azores	1913	1
Azores	1914	8
Azores	1915	1
Azores	1916	10
Azores	1917	2
Azores	1918	54
Azores	1919	19
Azores	1920	99
Azores	1921	73
Azores	1922	0
Azores	1923	0
Azores	1924	0
Bahia	1892	19
Bahia	1893	5
Bahia	1894	9
Bahia	1895	26
Bahia	1896	17
Bahia	1897	6
Bahia	1898	29
Bahia	1899	6
Bahia	1900	17
Bahia	1901	4
Bahia	1902	9
Bahia	1903	56
Bahia	1904	27
Bahia	1905	27
Bahia	1906	23
Bahia	1907	37
Bahia	1908	22
Bahia	1909	14
Bahia	1910	89
Bahia	1911	56
Bahia	1912	69
Bahia	1913	108
Bahia	1914	72
Bahia	1915	79
Bahia	1916	36
Bahia	1917	44
